comentario,polaridad,tema,tono,longitud,satisfaccion_min,satisfaccion_max,aspecto_variable,aspecto_valor_min,aspecto_valor_max
Desde el primer módulo he sentido que la mayor parte del contenido me resulta aplicable a mi trabajo. Es un aspecto que comparto también con mis compañeros.,positivo,contenido,formal,medio,3,5,contenidos_adecuados,3,5
En mi día a día con el curso observo que me encanta la combinación de teoría y práctica que se utiliza en el curso. Valoro mucho este aspecto del curso. Las dinámicas se integran bien con los objetivos de cada módulo. Es un aspecto que comparto también con mis compañeros.,muy_positivo,metodologia,elogio,largo,4,5,contenidos_adecuados,4,5
"Si pienso en el progreso del curso, creo que siempre que he tenido una duda, el soporte me ha ayudado de inmediato.",muy_positivo,soporte,informal,corto,4,5,utilidad_anuncios,4,5
"Desde el primer módulo he sentido que el temario cumple, sin aportar nada extraordinario. Creo que aún se podrían mejorar algunos detalles. Hay ejemplos que puedo trasladar directamente a mis proyectos. Es un aspecto que comparto también con mis compañeros.",neutral,contenido,constructivo,largo,2,4,conocimientos_utiles_futuro,2,4
A veces las clases son más interesantes y otras más densas. La organización del aula está pensada para colaborar. Siento que el equipo debería tenerlo en cuenta.,neutral,clase,formal,largo,2,4,clase_conveniencia_dia,2,4
Con la mente puesta en mis objetivos profesionales valoro que el temario no siempre se ajusta a lo que esperaba aprender.,negativo,contenido,informal,corto,1,3,conocimientos_utiles_futuro,1,3
"Desde el primer módulo he sentido que mi valoración global es intermedia, ni muy alta ni muy baja. Me gustaría que se introdujeran cambios en este sentido. Creo que resume bien cómo vivo el curso.",neutral,general,sugerencia,largo,2,4,ninguno,1,5
A lo largo de estas semanas he notado que las clases se me hacen muy pesadas y difíciles de seguir. Esa impresión se mantiene con el paso de las semanas.,muy_negativo,clase,formal,largo,1,2,clase_duracion,1,2
Mirando mi avance hasta ahora entiendo que echo en falta más actividades prácticas en esta metodología. Las dinámicas se integran bien con los objetivos de cada módulo.,negativo,metodologia,informal,corto,1,3,conocimientos_utiles_futuro,1,3
Mirando mi avance hasta ahora entiendo que no siempre el profesor responde de forma clara a las dudas. Lo tengo muy presente cuando hablo de la escuela.,negativo,profesor,formal,largo,1,3,mantiene_atencion,1,3
La tecnología utilizada facilita mucho el seguimiento de las sesiones. Valoro mucho este aspecto del curso. Es algo que impacta en mi motivación diaria.,muy_positivo,tecnologia,elogio,largo,4,5,clase_calidad_conexion,4,5
No veo relación clara entre la metodología y los objetivos del curso.,muy_negativo,metodologia,formal,corto,1,2,conocimientos_utiles_futuro,1,2
A lo largo de estas semanas he notado que la calidad del audio o vídeo a veces dificulta seguir la clase. Esa impresión se mantiene con el paso de las semanas.,negativo,tecnologia,informal,largo,1,3,clase_calidad_conexion,1,3
Desde mi perspectiva personal considero que algunas sesiones se sienten poco productivas. Creo que aún se podrían mejorar algunos detalles. Es algo que impacta en mi motivación diaria.,negativo,clase,constructivo,largo,1,3,clase_horario,1,3
En varias ocasiones he sentido que el soporte tardaba demasiado en responder. Este punto me genera bastante frustración. Es un aspecto que comparto también con mis compañeros.,negativo,soporte,queja,largo,1,3,velocidad_respuesta,1,3
Las clases se me hacen muy pesadas y difíciles de seguir. Este punto me genera bastante frustración. La organización del aula está pensada para colaborar.,muy_negativo,clase,queja,corto,1,2,clase_duracion,1,2
"Desde el primer módulo he sentido que la experiencia global ha sido buena, con algunos puntos mejorables. Valoro mucho este aspecto del curso.",positivo,general,elogio,corto,3,5,ninguno,1,5
La experiencia tecnológica es satisfactoria en la mayoría de las clases. La plataforma permite seguir la clase incluso desde el móvil. Creo que resume bien cómo vivo el curso.,positivo,tecnologia,informal,largo,3,5,clase_visibilidad_pantalla,3,5
"Si pienso en el progreso del curso, creo que la plataforma funciona de forma muy fluida y sin interrupciones. Valoro mucho este aspecto del curso. Para mí, marca la diferencia respecto a otros programas.",muy_positivo,tecnologia,elogio,medio,4,5,clase_visibilidad_pantalla,4,5
Hay varios aspectos del curso que me han dejado insatisfecho.,negativo,general,queja,corto,1,3,ninguno,1,5
La forma de plantear las tareas no siempre ayuda a consolidar lo aprendido.,negativo,metodologia,constructivo,corto,1,3,contenidos_adecuados,1,3
A lo largo de estas semanas he notado que la atención al alumno podría ser bastante más ágil. Detectan incidencias antes de que se conviertan en un problema. Se refleja en los resultados que obtengo en cada entrega.,negativo,soporte,informal,largo,1,3,utilidad_anuncios,1,3
Mirando mi avance hasta ahora entiendo que las explicaciones del profesor son correctas pero podrían ser más dinámicas.,neutral,profesor,informal,corto,2,4,preparado_clases,2,4
"La plataforma cumple su función, sin destacar demasiado. La plataforma permite seguir la clase incluso desde el móvil. Define la confianza que tengo en seguir avanzando.",neutral,tecnologia,formal,largo,2,4,clase_calidad_conexion,2,4
"Cuando comparo esta formación con otras, percibo que siento que la forma de trabajo dificulta mi aprendizaje en lugar de ayudar. Permite que la práctica tenga un peso real en el aprendizaje. Creo que resume bien cómo vivo el curso.",muy_negativo,metodologia,formal,largo,1,2,organiza_actividades,1,2
A lo largo de estas semanas he notado que el formato de las sesiones me ayuda a seguir el hilo del curso. Valoro mucho este aspecto del curso. Las dinámicas grupales hacen que el tiempo pase rápido.,positivo,clase,elogio,medio,3,5,clase_horario,3,5
"Desde mi perspectiva personal considero que los problemas técnicos son constantes y afectan mucho a mi aprendizaje. Para mí, marca la diferencia respecto a otros programas.",muy_negativo,tecnologia,formal,medio,1,2,clase_calidad_audio,1,2
Con la mente puesta en mis objetivos profesionales valoro que a veces las clases son más interesantes y otras más densas. Creo que aún se podrían mejorar algunos detalles. Creo que resume bien cómo vivo el curso.,neutral,clase,constructivo,medio,2,4,clase_duracion,2,4
Parte del contenido me ha parecido desactualizado o repetitivo. Este punto me genera bastante frustración. Me ayuda a decidir en qué módulos profundizar.,negativo,contenido,queja,largo,1,3,conocimientos_utiles_futuro,1,3
"Mi experiencia general con el curso es correcta, sin ser espectacular. Me gustaría que se introdujeran cambios en este sentido. Es un hito importante dentro de mi itinerario profesional. Para mí, marca la diferencia respecto a otros programas.",neutral,general,sugerencia,medio,2,4,ninguno,1,5
He tenido que insistir más de una vez para resolver algunos problemas. La comunicación por correo y chat está bien coordinada.,negativo,soporte,informal,medio,1,3,velocidad_respuesta,1,3
"Siento que la forma de trabajar es estándar, ni especialmente buena ni mala. Creo que aún se podrían mejorar algunos detalles. Es algo que impacta en mi motivación diaria.",neutral,metodologia,constructivo,largo,2,4,conocimientos_utiles_futuro,2,4
En mi día a día con el curso observo que siento que pierdo el tiempo en bastantes sesiones. Este punto me genera bastante frustración. Lo tengo muy presente cuando hablo de la escuela.,muy_negativo,clase,queja,largo,1,2,clase_conveniencia_dia,1,2
Con la mente puesta en mis objetivos profesionales valoro que la dedicación del profesor marca una diferencia enorme en mi aprendizaje. La forma en que guía los debates es muy valiosa. Define la confianza que tengo en seguir avanzando.,muy_positivo,profesor,formal,largo,4,5,mantiene_atencion,4,5
Desde el primer módulo he sentido que echo en falta más ejemplos o aclaraciones por parte del profesor. Noto que el enfoque del docente está muy actualizado.,negativo,profesor,formal,corto,1,3,dominio_materia,1,3
Desde mi perspectiva personal considero que he echado en falta mayor profundidad en ciertos apartados. Creo que aún se podrían mejorar algunos detalles. Hay ejemplos que puedo trasladar directamente a mis proyectos.,negativo,contenido,constructivo,medio,1,3,contenidos_adecuados,1,3
En conversaciones con mis compañeros coincidimos en que recomendaría este curso sin dudarlo a otras personas. Valoro mucho este aspecto del curso.,muy_positivo,general,elogio,corto,4,5,ninguno,1,5
"Cuando comparo esta formación con otras, percibo que no siempre el profesor responde de forma clara a las dudas. Creo que aún se podrían mejorar algunos detalles. La forma en que guía los debates es muy valiosa. Es algo que impacta en mi motivación diaria.",negativo,profesor,constructivo,largo,1,3,preparado_clases,1,3
"A veces tardan un poco en contestar, pero termina resolviéndose. Lo tengo muy presente cuando hablo de la escuela.",neutral,soporte,formal,largo,2,4,velocidad_respuesta,2,4
Siento que la forma de trabajo dificulta mi aprendizaje en lugar de ayudar. Este punto me genera bastante frustración. Permite que la práctica tenga un peso real en el aprendizaje. Creo que resume bien cómo vivo el curso.,muy_negativo,metodologia,queja,largo,1,2,contenidos_adecuados,1,2
Al repasar mis notas concluyo que me cuesta mantener la atención durante toda la clase. Salgo de cada clase con ideas prácticas para aplicar. Es un aspecto que comparto también con mis compañeros.,negativo,clase,formal,largo,1,3,clase_duracion,1,3
"Mi experiencia general con el curso es correcta, sin ser espectacular. Me deja con ganas de seguir conectada a la comunidad. Me ayuda a decidir en qué módulos profundizar.",neutral,general,formal,largo,2,4,ninguno,1,5
Analizando lo que he aprendido siento que no siempre el profesor responde de forma clara a las dudas. Este punto me genera bastante frustración. Hace que las dudas se resuelvan con rapidez. Siento que el equipo debería tenerlo en cuenta.,negativo,profesor,queja,largo,1,3,accesible_y_atiende_consultas,1,3
"Analizando lo que he aprendido siento que no estoy nada satisfecho con la forma de enseñar del profesor. Este punto me genera bastante frustración. Para mí, marca la diferencia respecto a otros programas.",muy_negativo,profesor,queja,medio,1,2,recomendaria_profesor,1,2
A lo largo de estas semanas he notado que el equipo de soporte responde rápido y soluciona los problemas eficazmente. El feedback que recibo es claro y accionable. Es un aspecto que comparto también con mis compañeros.,muy_positivo,soporte,formal,medio,4,5,utilidad_anuncios,4,5
Mirando mi avance hasta ahora entiendo que las dinámicas de clase me resultan poco útiles y repetitivas. Este punto me genera bastante frustración.,muy_negativo,metodologia,queja,medio,1,2,contenidos_adecuados,1,2
En conversaciones con mis compañeros coincidimos en que las dinámicas de clase me resultan poco útiles y repetitivas. Este punto me genera bastante frustración. Se nota que cada bloque responde a un propósito concreto.,muy_negativo,metodologia,queja,medio,1,2,conocimientos_utiles_futuro,1,2
En conversaciones con mis compañeros coincidimos en que en general la metodología me parece bastante acertada. Creo que aún se podrían mejorar algunos detalles. Permite que la práctica tenga un peso real en el aprendizaje. Se refleja en los resultados que obtengo en cada entrega.,positivo,metodologia,constructivo,largo,3,5,contenidos_adecuados,3,5
"Si pienso en el progreso del curso, creo que no he tenido prácticamente ningún problema técnico durante el curso. Se aprovechan bien las herramientas colaborativas online.",muy_positivo,tecnologia,formal,corto,4,5,clase_visibilidad_pantalla,4,5
Mirando mi avance hasta ahora entiendo que las conexiones fallan con bastante frecuencia. Me ayuda a decidir en qué módulos profundizar.,negativo,tecnologia,formal,largo,1,3,clase_visibilidad_pantalla,1,3
El curso ha superado mis expectativas en casi todos los aspectos. Valoro mucho este aspecto del curso. Siento que aprovecho cada hora dedicada a este programa.,muy_positivo,general,elogio,medio,4,5,ninguno,1,5
"A lo largo de estas semanas he notado que las clases se me pasan rápido porque son dinámicas y entretenidas. Para mí, marca la diferencia respecto a otros programas.",muy_positivo,clase,informal,medio,4,5,clase_conveniencia_dia,4,5
"Ha habido cosas buenas y cosas mejorables, en equilibrio. Me gustaría que se introdujeran cambios en este sentido.",neutral,general,sugerencia,corto,2,4,ninguno,1,5
"Cuando comparo esta formación con otras, percibo que no he encontrado utilidad real en la mayoría de los contenidos.",muy_negativo,contenido,formal,medio,1,2,contenidos_adecuados,1,2
El balance del curso es claramente positivo para mí.,positivo,general,constructivo,corto,3,5,ninguno,1,5
"Cuando comparo esta formación con otras, percibo que la experiencia global ha sido buena, con algunos puntos mejorables. Creo que aún se podrían mejorar algunos detalles. Refuerza mi decisión de apostar por el sector tecnológico.",positivo,general,constructivo,medio,3,5,ninguno,1,5
En conversaciones con mis compañeros coincidimos en que he tenido varios problemas técnicos que cortan el ritmo de la sesión. Este punto me genera bastante frustración. El soporte técnico interviene con rapidez cuando hace falta. Es algo que impacta en mi motivación diaria.,negativo,tecnologia,queja,largo,1,3,clase_visibilidad_pantalla,1,3
Al repasar mis notas concluyo que la atención al alumno podría ser bastante más ágil.,negativo,soporte,queja,corto,1,3,utilidad_anuncios,1,3
"El temario cumple, sin aportar nada extraordinario. Esa impresión se mantiene con el paso de las semanas.",neutral,contenido,informal,largo,2,4,contenidos_adecuados,2,4
El equipo de soporte responde rápido y soluciona los problemas eficazmente.,muy_positivo,soporte,informal,corto,4,5,utilidad_anuncios,4,5
"Cuando comparo esta formación con otras, percibo que cuando he tenido incidencias, se han resuelto adecuadamente. Detectan incidencias antes de que se conviertan en un problema. Para mí, marca la diferencia respecto a otros programas.",positivo,soporte,informal,largo,3,5,velocidad_respuesta,3,5
"Tras varias sesiones puedo decir que siempre que he tenido una duda, el soporte me ha ayudado de inmediato. Siento que hacen un esfuerzo genuino por escucharnos.",muy_positivo,soporte,formal,corto,4,5,velocidad_respuesta,4,5
La atención al alumno es excelente y muy cercana.,muy_positivo,soporte,informal,corto,4,5,velocidad_respuesta,4,5
"Tras varias sesiones puedo decir que los temas tratados son muy relevantes para mi desarrollo profesional. Me da herramientas concretas para actuar en el trabajo. Para mí, marca la diferencia respecto a otros programas.",muy_positivo,contenido,informal,medio,4,5,contenidos_adecuados,4,5
Las incidencias se acumulan sin una solución clara. El seguimiento individual ayuda a no perder el ritmo.,muy_negativo,soporte,formal,medio,1,2,utilidad_anuncios,1,2
"Al repasar mis notas concluyo que el profesor suele explicar bien, aunque a veces va un poco rápido.",positivo,profesor,formal,corto,3,5,dominio_materia,3,5
La mayor parte del contenido me resulta aplicable a mi trabajo.,positivo,contenido,formal,corto,3,5,conocimientos_utiles_futuro,3,5
Solo he tenido pequeños problemas técnicos que se han resuelto rápido. Me gustaría que se introdujeran cambios en este sentido. El soporte técnico interviene con rapidez cuando hace falta. Es un aspecto que comparto también con mis compañeros.,positivo,tecnologia,sugerencia,largo,3,5,clase_calidad_audio,3,5
Desde mi perspectiva personal considero que a veces el profesor no consigue que los conceptos queden claros.,negativo,profesor,informal,medio,1,3,dominio_materia,1,3
La experiencia global ha sido algo decepcionante. Creo que aún se podrían mejorar algunos detalles.,negativo,general,constructivo,medio,1,3,ninguno,1,5
Desde mi perspectiva personal considero que me siento perdido en las clases por la falta de claridad del profesor.,muy_negativo,profesor,formal,medio,1,2,mantiene_atencion,1,2
Mirando mi avance hasta ahora entiendo que la experiencia general ha sido peor de lo que esperaba. Este punto me genera bastante frustración. Es una formación que recomendaría a otros perfiles como el mío. Creo que resume bien cómo vivo el curso.,muy_negativo,general,queja,medio,1,2,ninguno,1,5
Analizando lo que he aprendido siento que no veo relación clara entre la metodología y los objetivos del curso. Es algo que impacta en mi motivación diaria.,muy_negativo,metodologia,formal,largo,1,2,grado_dificultad,1,2
Al repasar mis notas concluyo que las soluciones que me han dado no siempre han sido claras. Siento que hacen un esfuerzo genuino por escucharnos.,negativo,soporte,informal,corto,1,3,utilidad_anuncios,1,3
En general estoy satisfecho con cómo el profesor lleva las clases. Me anima a preparar las sesiones con antelación. Lo tengo muy presente cuando hablo de la escuela.,positivo,profesor,formal,largo,3,5,recomendaria_profesor,3,5
"Las actividades son aceptables, aunque podrían ser más variadas.",neutral,metodologia,constructivo,corto,2,4,conocimientos_utiles_futuro,2,4
"Mirando mi avance hasta ahora entiendo que la tecnología utilizada es correcta, con algún fallo puntual. La plataforma permite seguir la clase incluso desde el móvil.",neutral,tecnologia,formal,medio,2,4,clase_calidad_conexion,2,4
"Mirando mi avance hasta ahora entiendo que la metodología del curso me resulta correcta, sin destacar demasiado.",neutral,metodologia,constructivo,corto,2,4,conocimientos_utiles_futuro,2,4
"Desde el primer módulo he sentido que las clases son correctas, sin algo especialmente destacable.",neutral,clase,informal,corto,2,4,clase_horario,2,4
"A lo largo de estas semanas he notado que las clases suelen tener un ritmo adecuado en la mayoría de los días. Valoro mucho este aspecto del curso. El ambiente que se genera invita a preguntar sin miedo. Para mí, marca la diferencia respecto a otros programas.",positivo,clase,elogio,medio,3,5,clase_duracion,3,5
"Mirando mi avance hasta ahora entiendo que echo en falta más ejemplos o aclaraciones por parte del profesor. Creo que aún se podrían mejorar algunos detalles. Me anima a preparar las sesiones con antelación. Para mí, marca la diferencia respecto a otros programas.",negativo,profesor,constructivo,medio,1,3,mantiene_atencion,1,3
Siento que la forma de trabajo dificulta mi aprendizaje en lugar de ayudar. Este punto me genera bastante frustración.,muy_negativo,metodologia,queja,medio,1,2,contenidos_adecuados,1,2
Analizando lo que he aprendido siento que en general estoy satisfecho con cómo el profesor lleva las clases. Creo que aún se podrían mejorar algunos detalles.,positivo,profesor,constructivo,corto,3,5,mantiene_atencion,3,5
Mirando mi avance hasta ahora entiendo que recomendaría este curso sin dudarlo a otras personas. Valoro mucho este aspecto del curso.,muy_positivo,general,elogio,medio,4,5,ninguno,1,5
El soporte suele responder en un tiempo razonable. Valoro mucho este aspecto del curso.,positivo,soporte,elogio,corto,3,5,utilidad_anuncios,3,5
Analizando lo que he aprendido siento que en varias ocasiones he sentido que el soporte tardaba demasiado en responder. Es algo que impacta en mi motivación diaria.,negativo,soporte,formal,largo,1,3,velocidad_respuesta,1,3
En mi día a día con el curso observo que he tenido que insistir más de una vez para resolver algunos problemas.,negativo,soporte,informal,corto,1,3,utilidad_anuncios,1,3
"Las clases son correctas, sin algo especialmente destacable.",neutral,clase,constructivo,corto,2,4,clase_duracion,2,4
En mi día a día con el curso observo que en general las clases son agradables y productivas. Creo que aún se podrían mejorar algunos detalles. Creo que resume bien cómo vivo el curso.,positivo,clase,constructivo,medio,3,5,clase_horario,3,5
"Ha habido cosas buenas y cosas mejorables, en equilibrio. Siento que aprovecho cada hora dedicada a este programa.",neutral,general,formal,corto,2,4,ninguno,1,5
"Al repasar mis notas concluyo que siempre que he tenido una duda, el soporte me ha ayudado de inmediato.",muy_positivo,soporte,informal,medio,4,5,velocidad_respuesta,4,5
"Si pienso en el progreso del curso, creo que las clases se me pasan rápido porque son dinámicas y entretenidas.",muy_positivo,clase,formal,corto,4,5,clase_conveniencia_dia,4,5
A lo largo de estas semanas he notado que la plataforma funciona de forma muy fluida y sin interrupciones. Valoro mucho este aspecto del curso. Se nota que prueban las soluciones antes de cada sesión.,muy_positivo,tecnologia,elogio,medio,4,5,clase_calidad_conexion,4,5
"Si pienso en el progreso del curso, creo que algunas sesiones se sienten poco productivas. Es un aspecto que comparto también con mis compañeros.",negativo,clase,formal,medio,1,3,clase_duracion,1,3
En conversaciones con mis compañeros coincidimos en que la calidad de audio y vídeo en las clases online es excelente. Valoro mucho este aspecto del curso. La parte digital nunca me ha dejado fuera de una actividad. Se refleja en los resultados que obtengo en cada entrega.,muy_positivo,tecnologia,elogio,largo,4,5,clase_calidad_conexion,4,5
Mirando mi avance hasta ahora entiendo que el programa del curso cubre exactamente lo que esperaba aprender. Siento que el temario está vivo y se actualiza con frecuencia.,muy_positivo,contenido,informal,corto,4,5,conocimientos_utiles_futuro,4,5
"Tras varias sesiones puedo decir que el ritmo de clase es aceptable, aunque no siempre perfecto. Me gustaría que se introdujeran cambios en este sentido. La organización del aula está pensada para colaborar. Creo que resume bien cómo vivo el curso.",neutral,clase,sugerencia,medio,2,4,clase_duracion,2,4
La calidad del audio o vídeo a veces dificulta seguir la clase. Este punto me genera bastante frustración. Se nota que prueban las soluciones antes de cada sesión. Es un aspecto que comparto también con mis compañeros.,negativo,tecnologia,queja,largo,1,3,clase_calidad_audio,1,3
Tras varias sesiones puedo decir que la experiencia general ha sido peor de lo que esperaba.,muy_negativo,general,formal,corto,1,2,ninguno,1,5
"Si pienso en el progreso del curso, creo que me siento perdido en las clases por la falta de claridad del profesor. Este punto me genera bastante frustración. Se refleja en los resultados que obtengo en cada entrega.",muy_negativo,profesor,queja,largo,1,2,recomendaria_profesor,1,2
"Con la mente puesta en mis objetivos profesionales valoro que la metodología del curso me resulta correcta, sin destacar demasiado.",neutral,metodologia,sugerencia,corto,2,4,grado_dificultad,2,4
Las dinámicas de clase me resultan poco útiles y repetitivas. Esa impresión se mantiene con el paso de las semanas.,muy_negativo,metodologia,formal,medio,1,2,contenidos_adecuados,1,2
Las incidencias se acumulan sin una solución clara.,muy_negativo,soporte,formal,corto,1,2,velocidad_respuesta,1,2
Hay partes del contenido que me interesan y otras que no tanto. Creo que aún se podrían mejorar algunos detalles. Me da herramientas concretas para actuar en el trabajo.,neutral,contenido,constructivo,corto,2,4,conocimientos_utiles_futuro,2,4
"Con la mente puesta en mis objetivos profesionales valoro que cuando he tenido incidencias, se han resuelto adecuadamente. Me gustaría que se introdujeran cambios en este sentido. Define la confianza que tengo en seguir avanzando.",positivo,soporte,sugerencia,largo,3,5,utilidad_anuncios,3,5
"La metodología del curso me resulta correcta, sin destacar demasiado. Define la confianza que tengo en seguir avanzando.",neutral,metodologia,informal,largo,2,4,organiza_actividades,2,4
A lo largo de estas semanas he notado que solo he tenido pequeños problemas técnicos que se han resuelto rápido. Valoro mucho este aspecto del curso. Creo que resume bien cómo vivo el curso.,positivo,tecnologia,elogio,largo,3,5,clase_calidad_audio,3,5
A lo largo de estas semanas he notado que me encanta la combinación de teoría y práctica que se utiliza en el curso.,muy_positivo,metodologia,informal,medio,4,5,grado_dificultad,4,5
Me cuesta seguir las explicaciones del profesor en algunas sesiones. Este punto me genera bastante frustración. El acompañamiento docente es clave para que avance.,negativo,profesor,queja,corto,1,3,preparado_clases,1,3
Al repasar mis notas concluyo que algunas sesiones se sienten poco productivas.,negativo,clase,constructivo,corto,1,3,clase_horario,1,3
Desde mi perspectiva personal considero que estoy muy insatisfecho con la atención recibida por parte del soporte.,muy_negativo,soporte,formal,corto,1,2,velocidad_respuesta,1,2
"Los temas tratados son muy relevantes para mi desarrollo profesional. Encuentro referencias útiles para seguir investigando por mi cuenta. Para mí, marca la diferencia respecto a otros programas.",muy_positivo,contenido,formal,medio,4,5,conocimientos_utiles_futuro,4,5
A lo largo de estas semanas he notado que las clases tienen un ritmo muy bueno y mantienen mi atención.,muy_positivo,clase,elogio,corto,4,5,clase_conveniencia_dia,4,5
Al repasar mis notas concluyo que muchos temas me parecen irrelevantes para mis objetivos. Este punto me genera bastante frustración. Aporta claridad sobre temas que antes veía confusos. Creo que resume bien cómo vivo el curso.,muy_negativo,contenido,queja,medio,1,2,contenidos_adecuados,1,2
"Desde mi perspectiva personal considero que no siempre el profesor responde de forma clara a las dudas. Este punto me genera bastante frustración. La forma en que guía los debates es muy valiosa. Para mí, marca la diferencia respecto a otros programas.",negativo,profesor,queja,largo,1,3,preparado_clases,1,3
Analizando lo que he aprendido siento que no tengo una percepción especialmente buena del curso en general. Siento que aprovecho cada hora dedicada a este programa.,negativo,general,formal,medio,1,3,ninguno,1,5
En conversaciones con mis compañeros coincidimos en que la experiencia en clase es razonable y estable. Creo que aún se podrían mejorar algunos detalles. Las dinámicas grupales hacen que el tiempo pase rápido.,neutral,clase,constructivo,corto,2,4,clase_conveniencia_dia,2,4
En mi día a día con el curso observo que la metodología del curso es muy práctica y facilita mucho el aprendizaje. Valoro mucho este aspecto del curso. Define la confianza que tengo en seguir avanzando.,muy_positivo,metodologia,elogio,largo,4,5,contenidos_adecuados,4,5
No estoy nada satisfecho con la forma de enseñar del profesor. Este punto me genera bastante frustración. Se refleja en los resultados que obtengo en cada entrega.,muy_negativo,profesor,queja,largo,1,2,recomendaria_profesor,1,2
En general las clases son agradables y productivas. Valoro mucho este aspecto del curso.,positivo,clase,elogio,corto,3,5,clase_conveniencia_dia,3,5
Tras varias sesiones puedo decir que estoy muy insatisfecho con la atención recibida por parte del soporte.,muy_negativo,soporte,formal,corto,1,2,velocidad_respuesta,1,2
"Analizando lo que he aprendido siento que las clases tienen un ritmo muy bueno y mantienen mi atención. La organización del aula está pensada para colaborar. Para mí, marca la diferencia respecto a otros programas.",muy_positivo,clase,formal,largo,4,5,clase_horario,4,5
"Cuando comparo esta formación con otras, percibo que el profesor domina el contenido y sabe transmitirlo de manera excelente. El acompañamiento docente es clave para que avance. Siento que el equipo debería tenerlo en cuenta.",muy_positivo,profesor,informal,largo,4,5,recomendaria_profesor,4,5
Con la mente puesta en mis objetivos profesionales valoro que la experiencia general ha sido peor de lo que esperaba. Este punto me genera bastante frustración. Veo coherencia entre lo prometido y lo que recibimos.,muy_negativo,general,queja,corto,1,2,ninguno,1,5
"En conversaciones con mis compañeros coincidimos en que el curso ha cumplido, pero no ha destacado demasiado. Creo que aún se podrían mejorar algunos detalles. Refuerza mi decisión de apostar por el sector tecnológico. Creo que resume bien cómo vivo el curso.",neutral,general,constructivo,medio,2,4,ninguno,1,5
En mi día a día con el curso observo que la experiencia tecnológica es satisfactoria en la mayoría de las clases. Me gustaría que se introdujeran cambios en este sentido. Esa impresión se mantiene con el paso de las semanas.,positivo,tecnologia,sugerencia,largo,3,5,clase_visibilidad_pantalla,3,5
El temario no siempre se ajusta a lo que esperaba aprender. Este punto me genera bastante frustración. Hay ejemplos que puedo trasladar directamente a mis proyectos.,negativo,contenido,queja,corto,1,3,contenidos_adecuados,1,3
En general la metodología me parece bastante acertada. Valoro mucho este aspecto del curso. Consigue equilibrar teoría y casos reales de forma constante. Define la confianza que tengo en seguir avanzando.,positivo,metodologia,elogio,largo,3,5,organiza_actividades,3,5
En general las clases son agradables y productivas.,positivo,clase,informal,medio,3,5,clase_conveniencia_dia,3,5
Mirando mi avance hasta ahora entiendo que las explicaciones del profesor son buenas y ayudan a entender la materia. Valoro mucho este aspecto del curso. Esa impresión se mantiene con el paso de las semanas.,positivo,profesor,elogio,largo,3,5,dominio_materia,3,5
"Desde mi perspectiva personal considero que la experiencia global ha sido buena, con algunos puntos mejorables.",positivo,general,informal,corto,3,5,ninguno,1,5
"A lo largo de estas semanas he notado que mi valoración global es intermedia, ni muy alta ni muy baja. Me gustaría que se introdujeran cambios en este sentido. Es un aspecto que comparto también con mis compañeros.",neutral,general,sugerencia,largo,2,4,ninguno,1,5
En mi día a día con el curso observo que la plataforma a veces se bloquea o responde lenta. Creo que aún se podrían mejorar algunos detalles. Las grabaciones mantienen una calidad más que correcta.,negativo,tecnologia,constructivo,corto,1,3,clase_visibilidad_pantalla,1,3
Con la mente puesta en mis objetivos profesionales valoro que el contenido del curso está muy bien seleccionado y actualizado. Es algo que impacta en mi motivación diaria.,muy_positivo,contenido,formal,medio,4,5,contenidos_adecuados,4,5
El contenido es interesante y útil en la mayoría de los temas. Creo que aún se podrían mejorar algunos detalles. Esa impresión se mantiene con el paso de las semanas.,positivo,contenido,constructivo,largo,3,5,conocimientos_utiles_futuro,3,5
"Con la mente puesta en mis objetivos profesionales valoro que el soporte suele responder en un tiempo razonable. Para mí, marca la diferencia respecto a otros programas.",positivo,soporte,informal,largo,3,5,utilidad_anuncios,3,5
"Cuando comparo esta formación con otras, percibo que el ritmo de clase no siempre se adapta al grupo. Este punto me genera bastante frustración.",negativo,clase,queja,medio,1,3,clase_horario,1,3
Con la mente puesta en mis objetivos profesionales valoro que las explicaciones del profesor me resultan confusas y poco útiles. Me anima a preparar las sesiones con antelación. Es algo que impacta en mi motivación diaria.,muy_negativo,profesor,formal,largo,1,2,accesible_y_atiende_consultas,1,2
"El contenido es profundo y a la vez fácil de seguir. Me da herramientas concretas para actuar en el trabajo. Para mí, marca la diferencia respecto a otros programas.",muy_positivo,contenido,informal,largo,4,5,contenidos_adecuados,4,5
Desde mi perspectiva personal considero que parte del contenido me ha parecido desactualizado o repetitivo. Este punto me genera bastante frustración. Siento que el temario está vivo y se actualiza con frecuencia.,negativo,contenido,queja,medio,1,3,conocimientos_utiles_futuro,1,3
La atención al alumno en general es buena. Me gustaría que se introdujeran cambios en este sentido. Lo tengo muy presente cuando hablo de la escuela.,positivo,soporte,sugerencia,largo,3,5,utilidad_anuncios,3,5
En conversaciones con mis compañeros coincidimos en que hay varios aspectos del curso que me han dejado insatisfecho. Este punto me genera bastante frustración.,negativo,general,queja,medio,1,3,ninguno,1,5
Al repasar mis notas concluyo que me gustaría que la metodología fuera más interactiva. La secuencia de actividades mantiene el interés del grupo. Creo que resume bien cómo vivo el curso.,negativo,metodologia,formal,largo,1,3,contenidos_adecuados,1,3
